Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name,SMILES
1,Alliaceous,Alliaceous,74-93-1,Methanethiol,CS
2,Alliaceous,Alliaceous,2075-08-01 00:00:00,Ethanethiol,CCS
3,Alliaceous,Alliaceous,75-33-2,2-Propanethiol,CC(C)S
4,Alliaceous,Alliaceous,100-53-8,Benzyl mercaptan,C1=CC=C(C=C1)CS
5,Alliaceous,Alliaceous,107-03-9,1-Propanethiol,CCCS
6,Alliaceous,Alliaceous,107-18-6,Allyl alcohol,C=CCO
7,Alliaceous,Alliaceous,108-98-5,Benzenethiol,C1=CC=C(C=C1)S
8,Alliaceous,Alliaceous,110-02-1,Thiophene,C1=CSC=C1
9,Alliaceous,Alliaceous,110-66-7,1-Pentanethiol,CCCCCS
10,Alliaceous,Alliaceous,110-81-6,Diethyl disulfide,
11,Alliaceous,Alliaceous,111-31-9,1-Hexanethiol,CCCCCCS
12,Alliaceous,Alliaceous,111-47-7,Dipropyl sulfide,CCCSCCC
13,Alliaceous,Alliaceous,505-23-7,"1,3-Dithiane",C1CSCSC1
14,Alliaceous,Alliaceous,507-09-5,Thioacetic acid,CC(=O)S
15,Alliaceous,Alliaceous,544-40-1,Dibutyl sulfide,CCCCSCCCC
16,Alliaceous,Alliaceous,554-14-3,2-Methylthiophene,CC1=CC=CS1
17,Alliaceous,Alliaceous,623-51-8,Ethyl thioglycolate,CCOC(=O)CS
18,Alliaceous,Alliaceous,624-89-5,Ethyl methyl sulfide,CCSC
19,Alliaceous,Alliaceous,629-19-6,Dipropyl disulfide,CCCSSCCC
20,Alliaceous,Alliaceous,693-95-8,4-Methylthiazole,
21,Alliaceous,Alliaceous,870-23-5,Allyl mercaptan,C=CCS
22,Alliaceous,Alliaceous,1618-26-4,Bis(methylthio)methane,CSCSC
23,Alliaceous,Alliaceous,1679-07-8,Cyclopentanethiol,C1CCC(C1)S
24,Alliaceous,Alliaceous,2050-87-5,Diallyl trisulfide,C=CCSSSCC=C
